Index,RawX,FilteredX
0,0,0
1,7,1
2,4,1
3,3,1
4,8,3
5,1,2
6,7,3
7,1,3
8,13,4
9,8,5
10,10,6
11,11,7
12,13,8
13,5,7
14,2,6
15,19,8
16,20,10
17,21,12
18,23,14
19,32,17
20,26,19
21,12,17
22,24,19
23,25,20
24,30,21
25,24,22
26,24,22
27,23,22
28,23,22
29,30,24
30,30,25
31,16,23
32,31,24
33,40,27
34,34,28
35,35,29
36,36,31
37,39,32
38,35,32
39,38,33
40,44,35
41,44,37
42,49,39
43,45,40
44,43,40
45,48,42
46,49,43
47,48,44
48,54,46
49,40,44
50,49,45
51,53,46
52,56,48
53,48,48
54,58,50
55,58,51
56,49,51
57,55,51
58,62,53
59,61,55
60,58,55
61,64,57
62,68,59
63,69,60
64,65,61
65,61,61
66,72,63
67,63,63
68,72,64
69,62,64
70,58,63
71,75,65
72,81,68
73,72,68
74,84,71
75,77,72
76,83,74
77,76,74
78,81,75
79,84,77
80,87,79
81,80,79
82,85,80
83,79,80
84,77,79
85,86,80
86,83,81
87,86,82
88,82,82
89,74,80
90,93,82
91,88,83
92,90,84
93,89,85
94,99,88
95,93,88
96,92,89
97,87,89
98,95,90
99,99,91
100,100,93
101,99,94
102,107,96
103,107,98
104,99,98
105,97,98
106,99,98
107,101,98
108,118,102
109,106,103
110,110,104
111,105,104
112,112,105
113,105,105
114,114,107
115,108,107
116,105,106
117,113,108
118,106,107
119,126,110
120,121,112
121,110,112
122,118,113
123,121,114
124,122,116
125,128,118
126,118,118
127,127,119
128,129,121
129,119,121
130,120,120
131,133,123
132,129,124
133,127,124
134,133,126
135,125,125
136,129,126
137,132,127
138,139,129
139,137,130
140,141,132
141,136,133
142,136,133
143,145,135
144,132,135
145,149,137
146,141,138
147,150,140
148,142,140
149,141,140
150,152,142
151,141,142
152,154,144
153,151,145
154,156,147
155,145,147
156,153,148
157,150,148
158,159,150
159,151,150
160,157,151
161,150,151
162,154,151
163,154,152
164,154,152
165,157,153
166,155,153
167,161,155
168,165,156
169,167,158
170,155,158
171,162,158
172,159,158
173,166,160
174,165,160
175,159,160
176,173,162
177,163,162
178,174,164
179,166,165
180,150,162
181,168,163
182,170,164
183,168,165
184,182,168
185,166,167
186,169,168
187,185,171
188,181,172
189,182,174
190,182,175
191,176,175
192,172,175
193,177,175
194,174,175
195,182,176
196,173,175
197,181,176
198,184,178
199,179,178
200,185,179
201,184,180
202,196,183
203,188,184
204,196,186
205,191,187
206,191,187
207,200,190
208,189,189
209,190,189
210,191,190
211,194,190
212,194,191
213,192,191
214,203,193
215,197,194
216,192,193
217,195,194
218,194,194
219,196,194
220,213,197
221,199,197
222,200,198
223,202,199
224,202,199
225,197,199
226,209,200
227,198,200
228,202,200
229,196,199
230,202,200
231,208,201
232,216,204
233,203,204
234,205,204
235,207,204
236,209,205
237,207,205
238,215,207
239,211,208
240,210,208
241,207,208
242,212,208
243,213,209
244,209,209
245,216,210
